# Сводка из захвата на интерфейсе шлюза: колонки формата AWS VPC Flow
# Logs версии 2, интервал сведения 60 секунд. Адреса и порты взяты из
# пакетов; настоящим журналом облачной платформы файл не является.
version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 36290 8080 6 8 787 1789184861 1789184861 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 36290 6 6 512 1789184861 1789184861 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 36292 8080 6 8 1472 1789184862 1789184862 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 36292 6 6 512 1789184862 1789184862 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 36294 8080 6 8 2432 1789184863 1789184863 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 36294 6 6 512 1789184863 1789184863 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 36310 8080 6 8 2432 1789184866 1789184866 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 36310 6 6 512 1789184866 1789184866 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 36316 8080 6 8 1335 1789184866 1789184866 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 36316 6 6 512 1789184866 1789184866 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 36322 8080 6 8 1747 1789184867 1789184867 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 36322 6 6 512 1789184867 1789184867 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 39414 8080 6 8 1610 1789184868 1789184868 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 39414 6 6 512 1789184868 1789184868 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 39418 8080 6 8 787 1789184869 1789184869 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 39418 6 6 512 1789184869 1789184869 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 55426 8080 6 8 2432 1789184878 1789184878 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 55426 6 6 512 1789184878 1789184878 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 59946 8080 6 8 1061 1789184880 1789184880 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 59946 6 6 512 1789184880 1789184880 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 59960 8080 6 8 2569 1789184882 1789184882 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 59960 6 6 512 1789184882 1789184882 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 51292 8080 6 8 787 1789184885 1789184885 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 51292 6 6 512 1789184885 1789184885 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 51294 8080 6 8 924 1789184886 1789184886 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 51294 6 6 512 1789184886 1789184886 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 51302 8080 6 8 1610 1789184886 1789184886 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 51302 6 6 512 1789184886 1789184886 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 51308 8080 6 8 2295 1789184888 1789184888 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 51308 6 6 512 1789184888 1789184888 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 51310 8080 6 8 1335 1789184888 1789184888 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 51310 6 6 512 1789184888 1789184888 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 33208 8080 6 8 1335 1789184891 1789184891 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 33208 6 6 512 1789184891 1789184891 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 33210 8080 6 8 1198 1789184893 1789184893 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 33210 6 6 512 1789184893 1789184893 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 54782 8080 6 8 1472 1789184897 1789184897 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 54782 6 6 512 1789184897 1789184897 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 54790 8080 6 8 1884 1789184898 1789184898 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 54790 6 6 512 1789184898 1789184898 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 36050 8080 6 8 787 1789184900 1789184900 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 36050 6 6 512 1789184900 1789184900 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 36056 8080 6 8 2158 1789184900 1789184900 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 36056 6 6 512 1789184900 1789184900 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 36068 8080 6 8 2569 1789184901 1789184901 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 36068 6 6 512 1789184901 1789184901 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 36072 8080 6 8 1472 1789184901 1789184901 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 36072 6 6 512 1789184901 1789184901 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.3 198.51.100.10 36076 8080 6 8 1472 1789184902 1789184902 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.3 8080 36076 6 6 512 1789184902 1789184902 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 45946 8080 6 8 1061 1789184902 1789184902 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 45946 6 6 512 1789184902 1789184902 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 172.19.0.2 198.51.100.10 45960 8080 6 8 1610 1789184903 1789184903 ACCEPT OK
2 123456789010 eni-0f16a7c3e2b1d4a59 198.51.100.10 172.19.0.2 8080 45960 6 6 512 1789184903 1789184903 ACCEPT OK
